First author,Study accession,Publication date,Journal,Title,Reported trait,Trait(s),Discovery sample number and ancestry,Replication sample number and ancestry,Association count,Summary statistics,ftp downloads
Kurilshikov A,GCST90017102,2021-01-18T00:00:00Z,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,Gut microbiota abundance (order Methanobacteriales id.120),gut microbiome measurement,"14306 European811 East Asian1097 Hispanic or Latin American114 African American or Afro-Caribbean481 Greater Middle Eastern (Middle Eastern, North African or Persian)1531 NR, Other admixed ancestry",'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017102/GCST90017102_buildGRCh38.tsv
Kurilshikov A,GCST90017103,2021-01-18T00:00:00Z,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,Gut microbiota abundance (order Mollicutes RF9 id.11579),gut microbiome measurement,"14306 European811 East Asian1097 Hispanic or Latin American114 African American or Afro-Caribbean481 Greater Middle Eastern (Middle Eastern, North African or Persian)1531 NR, Other admixed ancestry",'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017103/GCST90017103_buildGRCh37.tsv
Kurilshikov A,GCST90017104,2021-01-18T00:00:00Z,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,Gut microbiota abundance (order NB1n id.3953),gut microbiome measurement,"14306 European811 East Asian1097 Hispanic or Latin American114 African American or Afro-Caribbean481 Greater Middle Eastern (Middle Eastern, North African or Persian)1531 NR, Other admixed ancestry",'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017104/GCST90017104_buildGRCh37.tsv
Kurilshikov A,GCST90017105,2021-01-18T00:00:00Z,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,Gut microbiota abundance (order Pasteurellales id.3688),gut microbiome measurement,"14306 European811 East Asian1097 Hispanic or Latin American114 African American or Afro-Caribbean481 Greater Middle Eastern (Middle Eastern, North African or Persian)1531 NR, Other admixed ancestry",'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017105/GCST90017105_buildGRCh37.tsv
Kurilshikov A,GCST90017106,2021-01-18T00:00:00Z,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,Gut microbiota abundance (order Rhodospirillales id.2667),gut microbiome measurement,"14306 European811 East Asian1097 Hispanic or Latin American114 African American or Afro-Caribbean481 Greater Middle Eastern (Middle Eastern, North African or Persian)1531 NR, Other admixed ancestry",'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017106/GCST90017106_buildGRCh37.tsv
Kurilshikov A,GCST90017107,2021-01-18T00:00:00Z,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,Gut microbiota abundance (order Selenomonadales id.2165),gut microbiome measurement,"14306 European811 East Asian1097 Hispanic or Latin American114 African American or Afro-Caribbean481 Greater Middle Eastern (Middle Eastern, North African or Persian)1531 NR, Other admixed ancestry",'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017107/GCST90017107_buildGRCh37.tsv
Kurilshikov A,GCST90017108,2021-01-18T00:00:00Z,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,Gut microbiota abundance (order Verrucomicrobiales id.4030),gut microbiome measurement,"14306 European811 East Asian1097 Hispanic or Latin American114 African American or Afro-Caribbean481 Greater Middle Eastern (Middle Eastern, North African or Persian)1531 NR, Other admixed ancestry",'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017108/GCST90017108_buildGRCh37.tsv
Kurilshikov A,GCST90017109,2021-01-18T00:00:00Z,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,Gut microbiota abundance (order Victivallales id.2254),gut microbiome measurement,"14306 European811 East Asian1097 Hispanic or Latin American114 African American or Afro-Caribbean481 Greater Middle Eastern (Middle Eastern, North African or Persian)1531 NR, Other admixed ancestry",'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017109/GCST90017109_buildGRCh37.tsv
Kurilshikov A,GCST90017110,2021-01-18T00:00:00Z,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,Gut microbiota abundance (phylum Actinobacteria id.400),gut microbiome measurement,"14306 European811 East Asian1097 Hispanic or Latin American114 African American or Afro-Caribbean481 Greater Middle Eastern (Middle Eastern, North African or Persian)1531 NR, Other admixed ancestry",'-,13,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017110/GCST90017110_buildGRCh37.tsv
Kurilshikov A,GCST90017111,2021-01-18T00:00:00Z,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,Gut microbiota abundance (phylum Bacteroidetes id.905),gut microbiome measurement,"14306 European811 East Asian1097 Hispanic or Latin American114 African American or Afro-Caribbean481 Greater Middle Eastern (Middle Eastern, North African or Persian)1531 NR, Other admixed ancestry",'-,0,FTP Download,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017111/GCST90017111_buildGRCh37.tsv
